,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
702,50000,1,2,1,38,1,2,0,0,0,0,58102,59011,56272,53663,51507,50616,2500,2500,2000,2000,3200,2000,0
341,160000,2,1,2,29,-1,-1,-2,-1,0,0,3097,-707,-2697,2303,6182,1654,0,0,5000,5000,1500,13000,0
640,30000,2,2,1,31,0,0,2,0,0,0,29493,19433,18782,19006,19637,21251,3200,0,742,1000,2000,0,0
137,180000,1,2,2,28,-1,-1,-1,-1,-1,-1,1832,0,832,332,416,416,0,416,332,500,3500,832,0
409,230000,2,2,2,27,1,2,0,0,0,0,13668,12647,13135,10596,9218,5068,0,1064,423,313,1000,4641,1
578,160000,1,1,2,26,-1,-1,-1,-1,-1,-1,1433,3746,30258,1036,21572,9528,3757,30348,1044,21636,9556,6066,0
307,180000,2,2,1,34,0,0,0,0,0,0,143301,146333,147042,127814,130331,132845,7000,5000,5000,4900,5000,5100,0
806,120000,2,1,3,44,0,0,2,0,0,0,70096,76446,73732,12329,12329,0,8100,0,247,0,0,0,0
454,230000,2,2,1,41,-1,-1,-1,-1,-1,-1,819,18163,5473,8162,6985,9130,18163,5654,12887,6985,9130,6554,0
96,140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0
340,180000,2,1,2,26,0,0,0,0,0,0,145403,138232,130553,105894,108248,106517,5440,5051,3835,4106,4250,4028,0
939,80000,2,2,2,24,2,2,5,5,4,3,1200,1200,1200,1200,600,300,0,0,0,0,0,0,1
102,80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0
85,20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0
692,50000,2,1,1,34,0,0,0,-1,0,0,27966,28539,11597,6611,7349,7570,1267,1553,7511,1000,343,1000,0
215,310000,2,1,2,38,-1,-1,-1,-1,-2,-2,1424,4542,126,0,0,0,4542,126,0,0,0,0,0
544,230000,2,1,2,28,-1,-1,0,0,0,0,2403,7357,9752,12608,10797,20539,7357,2566,3000,1000,10000,2000,0
67,320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1
285,240000,2,2,1,46,0,0,0,0,0,0,8751,9900,10605,10765,11765,4311,1295,1000,1000,1000,1000,1000,0
121,20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
971,50000,2,2,2,22,0,0,0,0,0,0,49609,61162,31485,15281,18031,18233,2100,2000,4000,3000,1500,1000,0
178,500000,2,1,1,47,0,0,0,0,0,0,56422,110616,110340,122967,108834,70064,70010,30357,30000,20000,52183,20000,0
883,180000,2,2,1,30,-1,-1,-1,-1,-1,-1,2488,13476,3173,13202,6594,2549,13476,3173,13212,6594,2549,1000,0
98,480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0
138,50000,1,2,2,23,1,2,2,2,0,0,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,0
853,100000,2,3,1,43,2,2,2,2,2,2,50485,51582,52141,52691,54199,53176,2200,2000,2000,2500,0,4500,1
118,110000,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
663,30000,2,2,1,35,0,0,0,0,0,0,25078,25538,25880,25873,26157,26918,1500,1387,893,1000,1501,2000,0
27,50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1
150,30000,2,3,2,26,0,0,0,0,0,0,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,1500,0
413,50000,2,1,2,30,0,0,0,0,0,2,14811,16262,17286,17895,19450,18990,2000,1600,1200,2000,0,1000,0
463,230000,1,2,2,32,0,0,0,0,0,0,28114,28006,25000,22046,19860,19831,1610,1224,655,627,620,500,0
925,200000,1,1,1,34,-2,-2,-2,-2,-2,-2,1242,4006,941,2357,2945,1143,4034,945,2366,2947,1143,744,0
17,120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1
585,260000,2,2,1,31,-1,-1,0,0,-1,-1,5841,23194,62361,67057,17024,18659,23194,50000,11500,17024,18659,38923,0
966,300000,1,1,1,42,-1,0,0,-1,0,0,11973,61834,25145,37666,19453,10492,20979,5000,37676,8808,2000,2709,1
624,30000,1,3,1,48,0,0,0,0,0,0,29434,28960,29022,29201,29553,29693,1465,2000,1033,1200,1055,530,0
793,50000,2,1,2,22,0,0,0,-1,-1,-2,13801,9549,5385,7781,0,0,1372,1275,7900,0,0,0,0
850,50000,2,3,2,49,0,0,0,0,0,0,4987,6741,9366,8566,10066,0,2000,3000,1500,1500,0,0,0
234,240000,2,3,1,50,0,0,0,0,0,0,234205,231669,214642,207642,210375,214694,10116,9150,8008,8000,8009,7714,1
901,30000,2,2,2,27,-1,-1,2,0,-1,2,27772,30461,29325,21449,29709,29086,3136,0,0,29709,0,1576,0
442,160000,2,1,2,28,0,0,0,0,0,0,146433,107604,89902,90983,82255,83988,4500,4400,3000,2400,2500,2500,0
671,90000,1,3,2,42,2,2,2,2,2,2,64762,63164,32789,31641,29240,28306,0,2900,0,2500,0,1300,1
471,60000,2,2,2,29,0,0,0,0,0,0,27199,28358,28937,29614,30391,23159,1900,1400,1000,1100,1000,420,0
106,330000,2,1,1,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0
732,150000,2,3,2,28,0,0,0,0,0,0,101593,101886,101441,100829,101913,96704,4000,4032,3410,4000,3665,3050,0
129,330000,1,3,1,46,0,0,0,0,0,0,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,0
588,50000,1,1,1,35,0,0,0,0,0,0,34976,6018,13930,7106,6020,9011,1127,1074,215,249,4383,172,0
917,50000,2,1,2,24,0,0,0,2,0,0,27245,28300,31900,31090,31837,32555,1800,4400,0,1400,1400,1400,0
947,80000,2,2,1,32,0,0,0,0,0,0,81074,78262,76163,76813,77511,79069,3700,3400,2900,2900,2841,3100,0
935,200000,2,2,1,32,-1,-1,-1,-1,-1,-1,5150,10190,10190,10190,10594,11193,10190,10190,10190,10594,11193,10190,0
495,20000,1,1,1,38,0,0,0,2,2,0,15912,17272,20565,20705,20255,19933,1623,3916,750,0,800,850,0
902,50000,1,1,2,30,2,2,2,-1,2,2,4187,5152,3679,596,446,2699,2300,0,700,0,2300,0,1
249,160000,2,1,2,28,0,0,0,0,-1,0,70243,47779,28052,7222,99669,84426,7042,2000,1000,99669,12600,10000,0
109,100000,2,1,2,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0
670,320000,2,1,1,41,0,0,0,0,0,0,97797,99672,101953,102284,104090,105859,4520,5050,3590,3700,3750,3510,0
396,240000,1,1,2,29,0,0,0,0,0,-1,156362,132280,99174,65372,28797,184922,5233,3289,2072,3018,184922,6100,0
154,210000,1,3,1,45,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,1
978,500000,1,1,2,36,-2,-2,-2,-2,-2,-2,45106,81264,18122,27229,21462,27911,81690,18225,27365,21570,28050,17397,1
166,270000,1,2,2,37,0,0,0,0,0,0,37695,33397,30534,27598,26344,24641,5000,2000,3000,4000,3000,2000,0
643,80000,2,2,2,24,0,0,0,0,0,0,77615,77303,66396,55639,56873,58390,3100,2586,2000,2500,3000,2500,0
246,50000,2,2,2,26,1,2,2,0,0,0,50867,51486,48869,30115,29527,29998,1710,136,1206,2002,2005,3003,0
865,290000,2,2,2,34,0,0,0,0,0,0,310403,315048,314085,317631,315820,305498,12012,12012,11016,11088,12031,12031,0
753,230000,2,2,1,30,2,0,-1,-1,-1,-1,9636,10152,1817,-828,6153,12663,1222,1837,0,7863,12675,2959,1
462,220000,1,1,2,38,0,0,0,0,0,0,212795,211043,212759,218541,167743,165300,8909,7500,9000,6729,6000,7009,1
755,30000,2,2,2,24,0,0,0,0,0,0,31319,31181,31540,31016,30531,30528,1564,1800,1100,1500,1500,3000,0
855,20000,2,2,2,27,0,0,0,0,0,0,20218,19194,20112,19712,19712,6321,1482,1400,0,0,0,0,0
434,50000,2,1,1,25,0,0,0,0,0,0,51044,50231,46677,44982,21399,20859,2500,3008,1000,761,800,704,0
322,220000,2,2,1,41,-1,2,2,-1,2,-1,650,650,325,950,475,325,325,0,950,0,325,325,1
195,30000,2,3,2,22,1,2,2,0,0,0,29010,29256,28122,29836,1630,0,1000,85,1714,104,0,0,1
417,440000,2,1,2,29,0,0,0,0,0,0,169661,167199,158520,156977,157963,151936,8071,9021,7013,6013,6028,6010,0
534,50000,2,1,2,52,0,0,0,-2,-1,-1,3257,4166,0,0,318,0,1000,0,0,318,0,0,0
748,50000,1,2,2,26,0,0,0,0,0,0,48036,46787,42011,19147,2845,20041,2100,1227,383,2000,20000,649,1
617,180000,2,2,2,28,-1,-1,-1,-1,-1,-1,340,-120,420,460,460,610,0,1000,500,460,610,460,0
851,30000,2,2,2,25,-2,-2,-2,-2,-2,-2,26957,26269,17036,27497,16098,7300,1333,2256,27497,787,200,0,0
205,330000,2,1,1,50,-1,-1,-1,-1,-2,-2,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,258,0
239,180000,2,1,2,32,-1,-1,2,2,-1,-1,3139,5853,2821,0,2821,0,2821,0,0,2821,0,176,0
188,180000,2,1,2,29,-1,-1,-1,-2,-1,0,11386,199,0,0,17227,17042,199,0,0,17227,341,5114,0
259,230000,2,1,2,37,-2,-2,-2,-2,-2,-2,2283,50815,0,0,299,338,51315,0,0,299,338,0,0
24,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0
443,180000,2,1,1,53,-1,-1,-1,0,0,-1,46122,1260,29366,5400,0,1599,1260,29366,54,0,1599,0,0
34,50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1
216,360000,2,1,1,40,2,2,2,0,0,0,105167,115468,112157,114690,117845,120238,12000,0,5900,5000,4500,4700,1
44,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0
77,360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0
573,80000,1,1,2,31,-1,-1,-1,-1,2,-1,5994,32223,8308,4082,538,4085,13647,8314,4082,0,4085,0,0
550,40000,2,2,2,24,-2,-2,-2,-2,-2,-2,35285,36714,37356,38184,38724,37255,2000,1600,1401,1607,1800,1751,0
346,90000,1,1,2,26,0,0,-1,0,0,-1,39128,20473,1940,1940,0,23101,1541,4200,0,0,23101,3000,0
769,120000,2,2,1,32,0,0,0,0,0,0,113869,116110,111978,112822,114969,117949,5498,5500,4000,4300,5012,4003,0
306,400000,2,2,1,38,-1,0,-1,-1,0,-1,3697,3600,1354,5322,5103,2077,1000,1354,5322,6,2386,9085,0
177,80000,2,3,2,35,0,-1,0,0,0,0,49608,12412,14873,17364,17770,17460,12500,6500,3000,2000,3000,2000,0
135,50000,1,1,2,24,0,0,0,0,0,0,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,0
386,350000,1,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
256,510000,2,1,2,29,0,0,0,0,0,0,78331,99414,107686,103776,87265,36739,40010,20094,5000,5001,25365,65000,0
543,160000,2,2,2,25,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
176,240000,1,1,2,37,-1,-1,2,0,0,-1,12212,26578,25331,26605,26279,1256,15000,0,2000,0,1256,65935,0
501,160000,1,1,2,35,-1,-1,-1,-1,-1,-1,396,396,396,0,792,1220,396,396,0,793,1220,0,0
936,50000,2,1,2,25,0,0,0,0,0,2,42543,34629,27095,18538,20100,19630,1900,1428,600,3000,0,1000,0
810,120000,1,3,1,33,1,2,2,2,2,2,66055,67405,68405,69387,70727,72215,3000,2700,2700,2600,2800,0,1
22,60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1
916,260000,2,1,2,33,1,-2,-2,-2,-1,-1,0,0,0,0,1980,2500,0,0,0,1980,2500,0,0
313,260000,2,3,1,53,1,-1,-1,-2,-2,-1,0,165,526,452,397,485,165,526,452,397,485,459,0
584,130000,2,2,2,29,0,0,0,0,0,0,131575,130931,132969,45584,46516,47455,6700,6000,1291,1319,1336,1365,0
510,20000,2,2,2,23,0,0,2,0,0,0,18355,20259,19534,16467,15746,13246,2900,10,577,430,1017,4,0
481,190000,1,2,1,31,0,0,0,0,0,0,177554,180633,172914,130139,115494,117465,7600,6303,4137,3502,4027,3517,0
713,70000,2,2,1,33,0,0,0,0,0,0,69418,68943,38783,3758,1261,0,2382,2025,1000,25,0,1651,1
815,60000,1,1,2,30,0,-1,0,0,0,0,15380,4116,19453,17912,18480,18848,4147,19435,1000,1000,1000,1000,0
695,300000,2,1,2,31,0,0,0,0,2,-1,43610,43280,36156,30305,30155,561,1655,1797,750,0,561,500,0
407,200000,2,1,1,38,-1,-1,-2,-1,-1,-2,190,0,0,367,-150,-150,0,0,367,150,0,0,0
398,150000,1,1,2,41,-1,-1,-1,-1,-1,2,1464,2084,384,0,2344,822,2091,384,0,2344,0,472,1
108,280000,1,2,1,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,0
509,50000,1,2,2,23,2,2,2,2,2,2,29509,30741,31438,31924,32566,33081,2000,1500,1300,1300,1200,1500,1
334,50000,2,2,1,31,0,0,0,0,0,0,46512,47716,49675,30929,30078,29170,1974,4406,1061,1073,1046,1047,1
934,180000,2,2,1,32,1,2,2,2,0,0,15548,15009,17752,17172,18732,23389,0,3000,0,2000,5000,2000,1
453,50000,1,1,2,32,-1,0,0,0,0,-2,23974,24131,25326,25775,0,0,1800,1900,1300,0,0,0,0
508,360000,1,1,2,28,-1,-1,-1,-1,-1,-1,20223,52962,3978,1743,2828,50537,53228,3997,1750,2853,51041,3219,0
761,510000,2,1,2,35,-1,0,0,0,0,-1,2115,2116,5560,4535,3488,1116,1117,4560,91,69,1116,2115,0
630,110000,1,3,1,56,0,0,0,0,0,0,46486,35758,34323,30452,22628,23468,4086,1428,1318,2171,3198,4976,0
159,250000,2,1,1,34,0,0,2,0,0,0,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,0
448,260000,1,2,2,37,0,0,0,-1,0,0,255691,262736,36638,122388,127402,131074,14000,5022,130000,7000,6000,6000,0
181,100000,2,2,1,38,1,2,0,0,2,0,14483,13961,15323,16268,15868,16448,0,1600,1500,0,1000,1500,1
185,20000,2,2,2,31,1,5,4,4,3,2,21703,21087,21461,20835,20219,20487,0,1000,0,0,760,0,0
382,80000,2,1,2,29,1,-1,-1,-2,-2,-2,0,80000,0,0,0,0,80000,0,0,0,0,0,0
235,140000,2,2,3,41,0,0,0,0,0,0,19346,21708,22940,19068,16409,16383,3000,2000,2198,1000,3000,2399,1
629,210000,2,2,1,47,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
906,90000,2,1,2,25,2,2,2,2,0,0,86014,92898,92860,88533,90942,88813,8300,2400,1000,4000,3600,4000,0
447,600000,1,1,1,53,2,2,0,0,0,0,467150,458862,469703,447130,440982,434715,0,18000,16000,16000,21000,20000,1
610,190000,2,2,1,37,1,2,2,2,2,2,115049,117856,119570,116284,123528,125478,6000,5000,0,9000,4000,5000,0
293,210000,2,2,1,36,0,0,0,0,0,0,143225,142996,144415,148190,147993,131629,6483,5082,6000,5900,4544,4700,0
486,90000,2,2,2,32,-2,-2,-2,-2,-2,-2,573,0,0,0,0,0,157,0,0,0,0,0,0
552,160000,2,1,1,33,-2,-2,-2,-2,-2,-2,5233,5393,1824,350,150,199,5401,1829,350,150,199,1145,0
147,80000,1,1,2,25,0,0,0,0,0,0,42444,55744,43476,41087,41951,31826,30000,3000,6000,8000,2000,14000,0
538,30000,2,2,1,36,2,3,2,2,0,0,28778,28039,28286,27533,28189,28805,0,1000,0,1100,1100,1500,1
269,200000,2,2,2,33,0,0,0,0,0,0,11253,12852,14024,14512,16325,11905,2000,1322,2000,2000,1200,3000,0
687,170000,1,2,2,27,-1,2,2,-2,-2,-2,1170,780,0,0,0,0,0,0,0,0,0,0,0
457,80000,2,2,1,36,-1,-1,-1,-1,-1,-1,1689,8638,5702,2980,1260,7868,8638,5723,2980,1260,7868,2198,0
503,180000,2,2,2,28,0,0,0,0,0,2,42238,38741,36696,35813,37893,34661,2500,2000,1128,2500,0,2000,0
343,50000,2,2,2,29,0,0,0,0,0,0,47081,49316,50409,45545,39963,41145,3000,2000,2000,2000,2000,2000,1
558,60000,2,2,1,42,-1,-1,-1,-1,-1,-1,631,2790,1758,416,416,3640,2790,1758,416,416,3640,730,0
733,610000,2,1,2,31,0,0,0,0,0,0,142764,126606,67887,58397,105301,105965,6540,2100,2150,50000,4700,2000,0
291,200000,1,1,2,31,0,0,0,0,0,0,194353,197344,186292,133345,133634,133990,9000,7465,4715,4804,5141,5300,0
384,150000,1,2,1,43,0,0,0,0,0,0,153249,154049,156523,159653,162866,157759,7900,6500,5700,5700,5700,5334,0
225,20000,2,3,2,24,1,2,0,0,0,0,19154,18165,17233,7630,1730,0,0,1333,500,100,0,3200,0
766,360000,2,2,2,53,-1,-1,-1,-1,-1,-1,10733,15206,15000,9744,11114,8123,15206,15032,9769,11114,8123,8736,0
483,320000,1,2,1,39,0,0,0,0,0,0,93768,91523,91579,91193,92837,95323,3317,3506,4218,5000,6080,938,0
451,40000,1,2,2,39,0,0,0,0,0,-1,40034,36549,17431,15031,10600,5315,2027,1207,301,212,5315,4987,0
598,170000,1,1,1,53,0,0,0,0,0,0,17862,17927,18800,17647,18015,12930,1323,1196,544,563,629,361,0
43,150000,2,5,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1
317,340000,2,1,2,27,0,0,0,0,0,0,172180,180140,166281,155628,145645,103263,21105,5461,5000,5849,2732,50000,0
849,140000,2,2,2,23,0,0,0,0,0,0,44733,44144,44739,43455,43980,44614,2100,2027,1800,1600,1750,1700,0
830,20000,2,1,2,23,0,0,0,0,0,-2,17246,16988,15973,18773,0,0,2000,2000,3000,0,0,0,0
211,30000,1,3,1,42,-1,-1,-1,-1,-1,2,390,390,390,240,1320,780,390,390,240,1470,0,0,0
356,500000,2,2,2,23,4,3,2,0,0,0,507726,509229,499936,505507,484612,419643,10000,0,14000,16500,16000,19000,1
590,110000,1,3,2,46,0,0,0,0,0,0,56700,57875,59044,59756,61004,62213,2681,2724,2287,2362,2374,2454,0
155,50000,1,3,1,57,3,2,0,0,0,0,12854,12362,13447,13427,13711,14083,0,1600,500,500,600,600,0
996,100000,1,2,1,29,0,0,0,0,-1,-1,94453,95860,67782,-2618,95748,101299,3320,5000,0,100000,7186,0,0
694,280000,1,1,1,41,-2,-2,-2,-2,-1,0,28026,41302,51500,35752,3955,13969,41346,52110,35752,3955,13939,4437,0
90,60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,0
318,50000,1,2,2,24,-1,0,0,0,0,0,1399,2441,3865,7476,8384,8085,1070,1500,3666,2477,1306,1000,0
634,400000,2,1,2,40,-1,-1,-1,-1,-1,0,60125,1981,4521,20472,76933,173599,1981,4521,20500,77000,100000,7700,0
304,30000,1,3,1,55,2,2,2,3,3,4,9720,10613,11339,12841,13836,14514,1200,1200,2000,1500,1500,1500,1
193,20000,2,1,2,22,0,0,0,0,-1,0,18553,19446,19065,8332,18868,19247,1500,1032,541,20000,693,1000,0
914,240000,1,1,2,46,0,0,0,0,0,0,471814,478380,395612,386295,356206,352257,16044,15087,12000,15000,12000,12000,0
251,50000,1,2,1,25,0,0,0,0,0,0,27699,28513,29341,29928,29533,28538,1565,1393,980,994,1024,886,0
712,160000,2,2,2,27,0,0,0,0,0,0,80964,80337,82182,82586,85145,87049,4000,4000,3500,4000,4000,2500,0
613,270000,2,2,1,56,0,0,0,0,0,0,137807,123769,104377,106651,109294,101151,5000,5000,3953,4500,4000,3900,0
499,130000,2,1,1,33,0,0,0,0,0,0,19161,20544,22704,22304,22304,0,2000,3000,0,0,0,0,1
329,400000,2,2,1,43,1,-2,-2,-2,-1,-1,0,0,0,0,1600,78388,0,0,0,1600,78388,0,0
325,150000,1,1,1,40,2,2,2,2,2,2,99855,102586,100064,104975,107147,109428,5200,0,8100,4000,4200,4200,0
547,190000,2,1,2,41,-1,-1,-1,-1,-1,-1,28204,0,16500,0,26854,554,0,16500,0,26854,500,0,1
